Model,Val MAE,Val RMSE,Val R²,Test MAE,Test R²,CV MAE
LightGBM,11.334,15.352,0.2778,11.291,0.2731,11.332
Stacking,11.444,15.488,0.2648,11.387,0.2606,N/A
XGBoost,11.449,15.496,0.2641,11.395,0.26,11.422
CatBoost,11.535,15.594,0.2548,11.492,0.2483,11.51
Voting Ensemble,11.542,15.548,0.2592,11.477,0.2557,N/A
Gradient Boosting,11.567,15.636,0.2507,11.514,0.2464,11.537
Random Forest,11.876,15.905,0.2247,11.779,0.2236,11.868
Decision Tree,12.201,16.391,0.1767,12.117,0.1723,12.155
Ridge (α=1),12.468,16.739,0.1413,12.414,0.1349,12.446
Lasso (α=0.1),12.474,16.748,0.1404,12.422,0.1343,12.452
ElasticNet,12.477,16.754,0.1398,12.424,0.1341,12.455
KNN (k=10),12.534,16.956,0.1189,12.489,0.1126,N/A
